Start word,Number of won games,Total games,Percentage of won games,Average number of rounds
sonic,2306,2314,99.65,3.64
track,2306,2314,99.65,3.64
adopt,2306,2314,99.65,3.65
blurt,2306,2314,99.65,3.65
burnt,2306,2314,99.65,3.65
child,2306,2314,99.65,3.65
mason,2306,2314,99.65,3.65
modal,2306,2314,99.65,3.65
patch,2306,2314,99.65,3.65
prong,2306,2314,99.65,3.65
scour,2306,2314,99.65,3.65
croup,2306,2314,99.65,3.66
skirt,2306,2314,99.65,3.66
slack,2306,2314,99.65,3.66
towel,2306,2314,99.65,3.66
trick,2306,2314,99.65,3.66
twice,2306,2314,99.65,3.66
crump,2306,2314,99.65,3.67
delay,2306,2314,99.65,3.67
manic,2306,2314,99.65,3.67
mirth,2306,2314,99.65,3.67
piano,2306,2314,99.65,3.67
threw,2306,2314,99.65,3.67
bicep,2306,2314,99.65,3.68
coupe,2306,2314,99.65,3.68
crowd,2306,2314,99.65,3.68
depth,2306,2314,99.65,3.68
doubt,2306,2314,99.65,3.68
gaily,2306,2314,99.65,3.68
globe,2306,2314,99.65,3.68
niche,2306,2314,99.65,3.68
plume,2306,2314,99.65,3.68
rebus,2306,2314,99.65,3.68
stomp,2306,2314,99.65,3.68
vital,2306,2314,99.65,3.68
wiser,2306,2314,99.65,3.68
brawl,2306,2314,99.65,3.69
cavil,2306,2314,99.65,3.69
clink,2306,2314,99.65,3.69
dwelt,2306,2314,99.65,3.69
input,2306,2314,99.65,3.69
mogul,2306,2314,99.65,3.69
thrum,2306,2314,99.65,3.69
bench,2306,2314,99.65,3.70
brawn,2306,2314,99.65,3.70
loamy,2306,2314,99.65,3.70
mound,2306,2314,99.65,3.70
sword,2306,2314,99.65,3.70
viral,2306,2314,99.65,3.70
blown,2306,2314,99.65,3.71
halve,2306,2314,99.65,3.71
sigma,2306,2314,99.65,3.71
valid,2306,2314,99.65,3.71
vapor,2306,2314,99.65,3.71
would,2306,2314,99.65,3.71
aphid,2306,2314,99.65,3.72
blink,2306,2314,99.65,3.72
chalk,2306,2314,99.65,3.72
gulch,2306,2314,99.65,3.72
magic,2306,2314,99.65,3.72
pluck,2306,2314,99.65,3.72
tawny,2306,2314,99.65,3.72
finch,2306,2314,99.65,3.73
flung,2306,2314,99.65,3.73
flush,2306,2314,99.65,3.73
frown,2306,2314,99.65,3.73
hardy,2306,2314,99.65,3.73
phony,2306,2314,99.65,3.73
wench,2306,2314,99.65,3.73
bunch,2306,2314,99.65,3.74
dwarf,2306,2314,99.65,3.74
frock,2306,2314,99.65,3.74
class,2306,2314,99.65,3.75
downy,2306,2314,99.65,3.75
vapid,2306,2314,99.65,3.75
chunk,2306,2314,99.65,3.76
shuck,2306,2314,99.65,3.76
fleck,2306,2314,99.65,3.77
glyph,2306,2314,99.65,3.77
wispy,2306,2314,99.65,3.77
awful,2306,2314,99.65,3.78
blitz,2306,2314,99.65,3.78
blood,2306,2314,99.65,3.78
bylaw,2306,2314,99.65,3.78
fatal,2306,2314,99.65,3.78
pesky,2306,2314,99.65,3.78
rugby,2306,2314,99.65,3.78
truss,2306,2314,99.65,3.78
fence,2306,2314,99.65,3.79
lipid,2306,2314,99.65,3.79
pupil,2306,2314,99.65,3.80
slosh,2306,2314,99.65,3.80
swill,2306,2314,99.65,3.80
bible,2306,2314,99.65,3.82
lupus,2306,2314,99.65,3.82
musky,2306,2314,99.65,3.82
sorry,2306,2314,99.65,3.82
mucky,2306,2314,99.65,3.83
proof,2306,2314,99.65,3.83
qualm,2306,2314,99.65,3.83
civil,2306,2314,99.65,3.84
click,2306,2314,99.65,3.85
clock,2306,2314,99.65,3.86
spook,2306,2314,99.65,3.86
mambo,2306,2314,99.65,3.88
scoff,2306,2314,99.65,3.88
buxom,2306,2314,99.65,3.89
jumpy,2306,2314,99.65,3.91
buddy,2306,2314,99.65,3.92
humph,2306,2314,99.65,3.92
slant,2305,2314,99.61,3.54
leant,2305,2314,99.61,3.55
trice,2305,2314,99.61,3.55
caste,2305,2314,99.61,3.57
crest,2305,2314,99.61,3.58
pleat,2305,2314,99.61,3.58
scale,2305,2314,99.61,3.58
slain,2305,2314,99.61,3.58
